id,Name,titleProject_id,class,score,login,password
316,Акушин Борис Павлович,493,9т,2,Акушин_БП.,jYm1r80E
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК.,fxP2ZWi8
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО.,nhDomekM
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА.,lCNlZxWJ
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР.,S4ZEiDT7
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ.,e15mIaCt
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ.,MS5IWZim
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС.,fzehkIT7
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА.,DG8t5zbG
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ.,gh6FzSB2
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА.,LCvV9FX7
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН.,LfXTpS2r
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ.,5KXkmX09
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК.,2t06JMhe
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА.,pzlZJ74T
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ.,MxLld0tn
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ.,7hrR6G5D
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ.,oGjU0XGF
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ.,SGAKyECO
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ.,yT3KoArm
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ.,pWjCeIfG
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН.,B7ntHxaS
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР.,Mfpr9Fx1
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ.,py03tw52
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ.,qUz8hO3R
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ.,LnnvxYED
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО.,QRgf7qsf
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ.,7jVEO7Ac
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА.,sKs7wiEp
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА.,wfgc7LYm
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП.,8AY8yC5O
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ.,kiS7OMiG
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП.,u1F7VzM0
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ.,E4WJN5fL
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ.,ROBhkgdU
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ.,76Ky5XJP
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ.,KAl4yosX
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД.,HX1jNXvl
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА.,jxBMHY9z
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ.,O99mJwCW
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ.,T1916XE6
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД.,Zscb5Yex
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ.,vuWNO2VY
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ.,TrAgYiEI
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ.,8sscnVfD
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ.,daU2ddGj
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ.,JBDM8Skh
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС.,S6qbjKs2
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА.,IcuEfNTO
365,Климухин Руслан Романович,269,10в,3,Климухин_РР.,Yecaicfg
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН.,UyeZ3kuB
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ.,doRqbFrT
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД.,VoAvUp7Q
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА.,YqsBcfE6
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА.,2ftKjsEV
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА.,HZk5Sz9g
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ.,75m9BT08
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ.,u3Mq8TqP
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ.,U4nrHUyM
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ.,MRN3wKEW
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ.,nOcZlBc8
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ.,Ug0RXgIZ
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА.,hZ7PZc5y
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ.,sqono3Wr
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ.,NsNaPa8L
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ.,4hM77xWm
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ.,hV8as5vZ
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО.,5lZYzlBB
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ.,xAbaD6nV
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА.,HIsaqcSN
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ.,R9qqrEj2
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА.,4nfWY75b
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН.,08s2acvC
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД.,1hkHWt1y
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ.,p42B5wbr
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА.,GkcmteXq
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ.,mnc9o5go
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ.,avDeNbrO
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ.,bn6Mtxo0
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ.,Sk96wgmi
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА.,qdxNp9eG
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД.,6X8BZzgk
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ.,Fr0AcbRQ
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ.,oxrnolEl
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ.,kxyGOOV0
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ.,rwSjMiDP
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ.,GyyqDWI4
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА.,VyxPX0uI
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ.,P6nVUjlM
405,Махометова София Викторовна,424,8и,3,Махометова_СВ.,Jlm5I7ts
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА.,Ro2Fg06p
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО.,jjI75YAn
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН.,sRscq0Gh
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН.,g3nhXLu1
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ.,qjjWgMUv
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ.,bBtwcyNN
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ.,2N5M00A8
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ.,F9gbunmd
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ.,F30GUcDx
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА.,O5uH6MD3
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА.,TJyK8TTB
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС.,J3HJXFea
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА.,5tKzt7cc
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА.,IyI3xYHw
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА.,MRVApatW
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА.,AQHhWDd2
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО.,PcraAEWR
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ.,KPv2bFV6
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН.,f48jnsHD
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ.,eSw8KR3Y
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ.,amKnV4Wg
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД.,PTExxZRl
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК.,gbXLPdmH
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА.,hHW47kzZ
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС.,vT2CgyES
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР.,ask8FvyQ
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ.,l9NwjYOz
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС.,TappGadz
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ.,siYemeiB
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ.,LPjeAIwe
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД.,aMSOtQBp
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ.,U97FwYOm
438,Милина Алена Петровна,359,8г,3,Милина_АП.,pPrpFP2n
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ.,Cp2DJvqo
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ.,fbTXCojg
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ.,jJy0WFng
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА.,IRPTcjIn
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ.,zOvRRleg
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД.,EsVWqboK
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ.,1ralsx5K
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА.,e26Addjw
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД.,DEdxedF8
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ.,II2TWYom
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА.,LDSu89Z8
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ.,2V7tm3De
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР.,EdbUMDA4
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ.,LoV2nhII
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ.,6jrjjFsh
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН.,TPnMJ9l6
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД.,ihCnubF8
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ.,GNuKUOuv
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС.,DkLrUfVE
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ.,Mj8gb7sG
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ.,KavGPUmL
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ.,YYJGEzSX
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ.,53HeqBpy
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ.,ibC7HagN
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ.,1PUsVCGA
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ.,mkeacrPt
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ.,Y1TeKLnU
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА.,n7ZKPXZ5
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР.,JbU1Guwb
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД.,iFPEBKKR
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП.,D8SmU6xq
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО.,WkaBu8gK
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП.,Di0EwXLF
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД.,5WbEXTIN
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО.,bp0LItcH
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА.,ZuId7SE1
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО.,6iMkFcZZ
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР.,ex2S7INl
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ.,UM5bKuzk
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ.,OtxbWdDe
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ.,B0irGVBE
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА.,PsLiQZfd
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП.,qxsvD7FU
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД.,1yyJLwuv
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ.,cY0pPNHY
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ.,vw8KYh1H
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ.,06g6IEus
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ.,XsxffTLg
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ.,vWeHw9D8
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ.,e3cYylqE
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА.,VXrksmme
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ.,quecc7cv
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ.,EkMczchg
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ.,774GTycP
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА.,rsWTVjWg
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА.,6qIMIS0c
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ.,Fbuw76BJ
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА.,pGMoZVNl
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ.,GqE90RqG
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ.,GbsPu5Ac
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА.,7F5ZqrkG
